### Sound Stimuli ###;;;
id;spectrum_value;speaker;sound_fnm
1;-10;"""Anne""";"""-10_Anne_mono_band.wav"""
2;-8;"""Anne""";"""-8_Anne_mono_band.wav"""
3;-6;"""Anne""";"""-6_Anne_mono_band.wav"""
4;-4;"""Anne""";"""-4_Anne_mono_band.wav"""
5;-2;"""Anne""";"""-2_Anne_mono_band.wav"""
6;0;"""Anne""";"""0_Anne_mono_band.wav"""
7;2;"""Anne""";"""2_Anne_mono_band.wav"""
8;4;"""Anne""";"""4_Anne_mono_band.wav"""
9;6;"""Anne""";"""6_Anne_mono_band.wav"""
10;8;"""Anne""";"""8_Anne_mono_band.wav"""
11;10;"""Anne""";"""10_Anne_mono_band.wav"""
12;-10;"""Tim""";"""-10_Tim_mono_band.wav"""
13;-8;"""Tim""";"""-8_Tim_mono_band.wav"""
14;-6;"""Tim""";"""-6_Tim_mono_band.wav"""
15;-4;"""Tim""";"""-4_Tim_mono_band.wav"""
16;-2;"""Tim""";"""-2_Tim_mono_band.wav"""
17;0;"""Tim""";"""0_Tim_mono_band.wav"""
18;2;"""Tim""";"""2_Tim_mono_band.wav"""
19;4;"""Tim""";"""4_Tim_mono_band.wav"""
20;6;"""Tim""";"""6_Tim_mono_band.wav"""
21;8;"""Tim""";"""8_Tim_mono_band.wav"""
22;10;"""Tim""";"""10_Tim_mono_band.wav"""
23;-10;"""Hannah""";"""-10_Hannah_mono_band.wav"""
24;-8;"""Hannah""";"""-8_Hannah_mono_band.wav"""
25;-6;"""Hannah""";"""-6_Hannah_mono_band.wav"""
26;-4;"""Hannah""";"""-4_Hannah_mono_band.wav"""
27;-2;"""Hannah""";"""-2_Hannah_mono_band.wav"""
28;0;"""Hannah""";"""0_Hannah_mono_band.wav"""
29;2;"""Hannah""";"""2_Hannah_mono_band.wav"""
30;4;"""Hannah""";"""4_Hannah_mono_band.wav"""
31;6;"""Hannah""";"""6_Hannah_mono_band.wav"""
32;8;"""Hannah""";"""8_Hannah_mono_band.wav"""
33;10;"""Hannah""";"""10_Hannah_mono_band.wav"""
34;-10;"""Tom""";"""-10_Tom_mono__2__band.wav"""
35;-8;"""Tom""";"""-8_Tom_mono__2__band.wav"""
36;-6;"""Tom""";"""-6_Tom_mono__2__band.wav"""
37;-4;"""Tom""";"""-4_Tom_mono__2__band.wav"""
38;-2;"""Tom""";"""-2_Tom_mono__2__band.wav"""
39;0;"""Tom""";"""0_Tom_mono__2__band.wav"""
40;2;"""Tom""";"""2_Tom_mono__2__band.wav"""
41;4;"""Tom""";"""4_Tom_mono__2__band.wav"""
42;6;"""Tom""";"""6_Tom_mono__2__band.wav"""
43;8;"""Tom""";"""8_Tom_mono__2__band.wav"""
44;10;"""Tom""";"""10_Tom_mono__2__band.wav"""
